Date,Time,Commands,Supply V,Supply I,Restart,Clamp  pos,Clamp  speed,Clamp  I,Clamp  status,Clamp  error,Cutter Counts,Cutter speed,Cutter I,Cutter status,Cutter error,Tip Diameter,Radial speed,Radial I,Radial status,Radial error,Head Rotation,Rotate speed,Rotate I,Rotate status,Rotate error,Temp int,Temp ext,Noise,Head V,30 V,Stretch,Torque,Clamp SPI errors,Cutter SPI errors,Radial SPI errors,Rotate SPI errors,Debug
01/11/2012,10:26:41,,330,198,,,,,0,,7488,4000,200,18,,,,,0,,,,,0,,,,70,275,30,,,,,,,Test cutter speed = 3800
01/11/2012,10:26:41,,321,199,,,,,0,,7552,4000,200,18,,,,,0,,,,,0,,,15,68,298,30,,,,,,,Test cutter speed = 4000
01/11/2012,10:26:42,,328,199,,,,,0,,7552,3800,209,18,,,,,0,,,,,0,,,,69,294,30,,,,,,,Test cutter speed = 4000
01/11/2012,10:26:42,,322,200,,,,,0,,7616,4000,209,18,,,,,0,,,,,0,,,,68,290,30,,,2,,,,Test cutter speed = 3800
01/11/2012,10:26:43,,318,201,,,,,0,,7680,3800,209,18,,,,,0,,,,,0,,,,69,298,30,,,,,,,Test cutter speed = 4000
01/11/2012,10:26:44,,322,201,,,,,0,,7744,3800,209,18,,,,,0,,,,,0,,21,,69,275,30,,,,,,,Test cutter speed = 3800
01/11/2012,10:26:44,,318,201,,,,,0,,7744,4000,209,18,,,,,0,,,,,0,,,,69,290,30,,,,,,,Test cutter speed = 3800
01/11/2012,10:26:44,,319,201,,,,,0,,7808,4000,200,18,,,,,0,,,,,0,,,22,70,294,30,,,,,,,Test cutter speed = 4000
01/11/2012,10:26:45,,328,201,,,,,0,,7872,3800,209,18,,,,,0,,,,,0,,,,68,302,31,,,,,,,Test cutter speed = 4000
01/11/2012,10:26:46,,321,200,,,,,0,,7872,4000,209,18,,,,,0,,,,,0,,,,69,267,30,,,,9,,,Test cutter speed = 3800
01/11/2012,10:26:46,,321,200,,,,,0,,7936,3800,200,18,,,,,0,,,,,0,,,,70,287,30,,,,,,,Test cutter speed = 4000
01/11/2012,10:26:47,,329,199,,,,,0,,8000,4000,209,18,,,,,0,,,,,0,,27,,70,287,30,,,,,,,Test cutter speed = 3800
01/11/2012,10:26:47,,321,200,,,,,0,,8064,3800,209,18,,,,,0,,,,,0,,,,69,271,30,,,,,,,Test cutter speed = 4000
01/11/2012,10:26:47,M1 speed 0,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Test cutter speed = 3800
01/11/2012,10:26:47,M2 speed 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/11/2012,10:26:47,M3 speed 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/11/2012,10:26:47,M4 speed 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/11/2012,10:26:48,,,,,,,,0,,8064,3800,209,18,,,,,0,,,,,0,,,22,70,302,31,,,,,,,Test cutter speed = 3800
01/11/2012,10:26:48,,322,201,,,,,0,,8128,4000,218,18,,,,,0,,,,,0,,,,69,298,30,,,,,,,Test cutter speed = 3800
01/11/2012,10:26:49,,321,198,,,,,0,,8256,3800,200,16,,,,,0,,,,,0,,,,69,275,30,,,,,1,,Test cutter speed = 4000
01/11/2012,10:26:50,,319,191,,,,,0,,8256,3800,145,16,,,,,0,,,,,0,,,,69,287,30,,,,,,,Test cutter speed = 3800
01/11/2012,10:26:50,,324,186,,,,,0,,8320,3400,100,16,,,,,0,,,,,0,,26,,68,290,30,,,,,,,Test cutter speed = 3800
01/11/2012,10:26:51,,,181,,,,,0,,8384,3400,91,16,,,,,0,,,,,0,,,,69,298,30,,,,,,,Test cutter speed = 3400
01/11/2012,10:26:51,,330,175,,,,,0,,8384,3200,91,16,,,,,0,,,,,0,,,22,68,290,30,,,,,,,Test cutter speed = 3400
